h,Consommation (MW),Production total,Coût total,Nb centrale A,Puissance tot A,Coût A,Facteur de chargeA,Nb centrale B,Puissance tot B,Coût B,Facteur de chargeB,Nb centrale C,Puissance tot C,Coût C,Facteur de chargeC,Coût MWh
0,15000,15000.0,20700.0,0,0.0,0.0,0,9,15000.0,20700.0,95,0,0.0,0.0,0,1.38
1,15000,15000.0,20700.0,0,0.0,0.0,0,9,15000.0,20700.0,95,0,0.0,0.0,0,1.38
2,15000,15000.0,20700.0,0,0.0,0.0,0,9,15000.0,20700.0,95,0,0.0,0.0,0,1.38
3,15000,15000.0,20700.0,0,0.0,0.0,0,9,15000.0,20700.0,95,0,0.0,0.0,0,1.38
4,15000,15000.0,20700.0,0,0.0,0.0,0,9,15000.0,20700.0,95,0,0.0,0.0,0,1.38
5,15000,15000.0,20700.0,0,0.0,0.0,0,9,15000.0,20700.0,95,0,0.0,0.0,0,1.38
6,30000,30000.0,42900.0,12,12500.0,18750.0,52,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.43
7,30000,30000.0,42900.0,12,12500.0,18750.0,52,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.43
8,30000,30000.0,42900.0,12,12500.0,18750.0,52,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.43
9,25000,25000.0,35400.0,4,7500.0,11250.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.416
10,25000,25000.0,35400.0,4,7500.0,11250.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.416
11,25000,25000.0,35400.0,4,7500.0,11250.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.416
12,25000,25000.0,35400.0,4,7500.0,11250.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.416
13,25000,25000.0,35400.0,4,7500.0,11250.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.416
14,25000,25000.0,35400.0,4,7500.0,11250.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.416
15,40000,40000.0,57900.0,12,22500.0,33750.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4475
16,40000,40000.0,57900.0,12,22500.0,33750.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4475
17,40000,40000.0,57900.0,12,22500.0,33750.0,93,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4475
18,27000,27000.0,38400.0,5,9500.0,14250.0,95,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4222222222222223
19,27000,27000.0,38400.0,5,9500.0,14250.0,95,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4222222222222223
20,27000,27000.0,38400.0,5,9500.0,14250.0,95,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4222222222222223
21,27000,27000.0,38400.0,5,9500.0,14250.0,95,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4222222222222223
22,27000,27000.0,38400.0,5,9500.0,14250.0,95,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4222222222222223
23,27000,27000.0,38400.0,5,9500.0,14250.0,95,10,17500.0,24149.999999999996,100,0,0.0,0.0,0,1.4222222222222223
