h,Consommation (MW),Production total,Coût total,Nb centrale A,Nb centrale démarées A,Puissance tot A,Coût A,Nb centrale B,Nb centrale démarées B,Puissance tot B,Coût B,Nb centrale C,Nb centrale démarées C,Puissance tot C,Coût C,Coût MWh
0,15000,15000.0,21165.0,12,0,10199.999999999996,11999.999999999993,3,0,4800.000000000005,9165.000000000005,0,0,0.0,0.0,1.411
1,15000,15000.0,21165.0,12,0,10199.999999999996,11999.999999999993,3,0,4800.000000000005,9165.000000000005,0,0,0.0,0.0,1.411
2,15000,15000.0,21165.0,12,0,10199.999999999996,11999.999999999993,3,0,4800.000000000005,9165.000000000005,0,0,0.0,0.0,1.411
3,15000,15000.0,21165.0,12,0,10199.999999999996,11999.999999999993,3,0,4800.000000000005,9165.000000000005,0,0,0.0,0.0,1.411
4,15000,15000.0,21165.0,12,0,10199.999999999996,11999.999999999993,3,0,4800.000000000005,9165.000000000005,0,0,0.0,0.0,1.411
5,15000,15000.0,21165.0,12,0,10199.999999999996,11999.999999999993,3,0,4800.000000000005,9165.000000000005,0,0,0.0,0.0,1.411
6,30000,30000.0,54600.0,12,0,15999.999999999998,23599.999999999996,8,5,14000.000000000002,31000.000000000004,0,0,0.0,0.0,1.82
7,30000,30000.0,49600.0,12,0,16000.0,23600.0,8,0,14000.0,26000.0,0,0,0.0,0.0,1.6533333333333333
8,30000,30000.0,49600.0,12,0,16000.0,23600.0,8,0,14000.0,26000.0,0,0,0.0,0.0,1.6533333333333333
9,25000,25000.0,39599.99999999997,12,0,10999.999999999956,13599.999999999913,8,0,14000.000000000044,26000.00000000006,0,0,0.0,0.0,1.5839999999999987
10,25000,25000.0,39599.99999999996,12,0,10999.999999999947,13599.999999999894,8,0,14000.000000000053,26000.00000000007,0,0,0.0,0.0,1.5839999999999985
11,25000,25000.0,39599.99999999997,12,0,10999.999999999953,13599.999999999905,8,0,14000.000000000047,26000.000000000062,0,0,0.0,0.0,1.5839999999999987
12,25000,25000.0,39599.99999999997,12,0,10999.99999999996,13599.99999999992,8,0,14000.00000000004,26000.00000000005,0,0,0.0,0.0,1.5839999999999987
13,25000,25000.0,39599.999999999985,12,0,10999.999999999978,13599.999999999956,8,0,14000.000000000022,26000.00000000003,0,0,0.0,0.0,1.5839999999999994
14,25000,25000.0,39600.0,12,0,10999.999999999998,13599.999999999996,8,0,14000.000000000002,26000.000000000004,0,0,0.0,0.0,1.584
15,40000,40000.0,71350.0,12,0,21250.0,34100.0,9,1,15750.0,30250.0,2,2,3000.0,7000.0,1.78375
16,40000,40000.0,69350.0,12,0,21250.0,34100.0,9,0,15750.0,29250.0,2,0,3000.0,6000.0,1.73375
17,40000,40000.0,69350.0,12,0,21250.0,34100.0,9,0,15750.0,29250.0,2,0,3000.0,6000.0,1.73375
18,27000,27000.0,43350.0,12,0,11249.999999999996,14099.999999999993,9,0,15750.000000000004,29250.000000000004,0,0,0.0,0.0,1.6055555555555556
19,27000,27000.0,43350.0,12,0,11249.999999999996,14099.999999999993,9,0,15750.000000000004,29250.000000000004,0,0,0.0,0.0,1.6055555555555556
20,27000,27000.0,43350.0,12,0,11249.999999999996,14099.999999999993,9,0,15750.000000000004,29250.000000000004,0,0,0.0,0.0,1.6055555555555556
21,27000,27000.0,43350.0,12,0,11249.999999999996,14099.999999999993,9,0,15750.000000000004,29250.000000000004,0,0,0.0,0.0,1.6055555555555556
22,27000,27000.0,43350.0,12,0,11249.999999999996,14099.999999999993,9,0,15750.000000000004,29250.000000000004,0,0,0.0,0.0,1.6055555555555556
23,27000,27000.0,43350.0,12,0,11249.999999999996,14099.999999999993,9,0,15750.000000000004,29250.000000000004,0,0,0.0,0.0,1.6055555555555556
