h,Consommation (MW),Production total,Coût total,Nb centrale A,Nb centrale démarées A,Puissance tot A,Coût A,Nb centrale B,Nb centrale démarées B,Puissance tot B,Coût B,Nb centrale C,Nb centrale démarées C,Puissance tot C,Coût C,Coût MWh,Démarrage 9,Fonctionnement 9,Puissance tot 9,Coût 9,Démarrage 14,Fonctionnement 14,Puissance tot 14,Coût 14
0,15000,15000.0,16990.0,12,0,10950.0,13500.0,1,0,1750.0,3250.0,0,0,0.0,0.0,1.1326666666666667,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
1,15000,15000.0,16990.0,12,0,10950.0,13500.0,1,0,1750.0,3250.0,0,0,0.0,0.0,1.1326666666666667,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
2,15000,15000.0,16990.0,12,0,10950.0,13500.0,1,0,1750.0,3250.0,0,0,0.0,0.0,1.1326666666666667,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
3,15000,15000.0,16990.0,12,0,10950.0,13500.0,1,0,1750.0,3250.0,0,0,0.0,0.0,1.1326666666666667,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
4,15000,15000.0,16990.0,12,0,10950.0,13500.0,1,0,1750.0,3250.0,0,0,0.0,0.0,1.1326666666666667,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
5,15000,15000.0,16989.999999999996,12,0,10949.999999999996,13499.999999999993,1,0,1750.0000000000036,3250.0000000000045,0,0,0.0,0.0,1.1326666666666665,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
6,30000,30000.0,51490.0,12,0,15450.0,22500.0,7,6,12250.0,28750.0,0,0,0.0,0.0,1.7163333333333333,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
7,30000,30000.0,45490.0,12,0,15450.0,22500.0,7,0,12250.0,22750.0,0,0,0.0,0.0,1.5163333333333333,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
8,30000,30000.0,45490.0,12,0,15450.0,22500.0,7,0,12250.0,22750.0,0,0,0.0,0.0,1.5163333333333333,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
9,25000,25000.0,35490.0,12,0,10450.0,12500.0,7,0,12250.0,22750.0,0,0,0.0,0.0,1.4196,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
10,25000,25000.0,35490.0,12,0,10450.0,12500.0,7,0,12250.0,22750.0,0,0,0.0,0.0,1.4196,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
11,25000,25000.0,35490.0,12,0,10450.0,12500.0,7,0,12250.0,22750.0,0,0,0.0,0.0,1.4196,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
12,25000,25000.0,35490.0,12,0,10450.0,12500.0,7,0,12250.0,22750.0,0,0,0.0,0.0,1.4196,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
13,25000,25000.0,35490.0,12,0,10450.0,12500.0,7,0,12250.0,22750.0,0,0,0.0,0.0,1.4196,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
14,25000,25000.0,35489.999999999985,12,0,10449.999999999978,12499.999999999956,7,0,12250.000000000022,22750.00000000003,0,0,0.0,0.0,1.4195999999999995,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
15,40000,40000.0,67490.0,12,0,20450.0,32500.0,9,2,15750.0,31250.0,1,1,1500.0,3500.0,1.68725,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
16,40000,40000.0,64990.0,12,0,20450.0,32500.0,9,0,15750.0,29250.0,1,0,1500.0,3000.0,1.62475,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
17,40000,40000.0,64990.0,12,0,20450.0,32500.0,9,0,15750.0,29250.0,1,0,1500.0,3000.0,1.62475,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
18,27000,27000.0,39240.0,12,0,10700.0,13000.0,8,0,14000.0,26000.0,0,0,0.0,0.0,1.4533333333333334,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
19,27000,27000.0,39240.0,12,0,10700.0,13000.0,8,0,14000.0,26000.0,0,0,0.0,0.0,1.4533333333333334,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
20,27000,27000.0,39240.0,12,0,10700.0,13000.0,8,0,14000.0,26000.0,0,0,0.0,0.0,1.4533333333333334,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
21,27000,27000.0,39240.0,12,0,10700.0,13000.0,8,0,14000.0,26000.0,0,0,0.0,0.0,1.4533333333333334,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
22,27000,27000.0,39240.0,12,0,10700.0,13000.0,8,0,14000.0,26000.0,0,0,0.0,0.0,1.4533333333333334,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
23,27000,27000.0,39240.0,12,0,10700.0,13000.0,8,0,14000.0,26000.0,0,0,0.0,0.0,1.4533333333333334,-0.0,1.0,900.0,90.0,-0.0,1.0,1400.0,150.0
