h,Consommation (MW),Production total,Coût total,Nb centrale A,Nb centrale démarées A,Puissance tot A,Coût A,Nb centrale B,Nb centrale démarées B,Puissance tot B,Coût B,Nb centrale C,Nb centrale démarées C,Puissance tot C,Coût C,Fonctionnement 9,Démarrage 9,Puissance tot 9,Coût 9,Fonctionnement 14,Démarrage 14,Puissance tot 14,Coût 14,Pompage,Réservoir variation,Réservoir,Coût MWh
0,15000,15000.0,21750.0,12,0,10200.0,12000.0,3,0,5250.0,9750.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-450.0,0.15,0.15,1.45
1,15000,15000.0,21750.0,12,0,10200.0,12000.0,3,0,5250.0,9750.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-450.0,0.15,0.3,1.45
2,15000,15000.0,21750.0,12,0,10200.0,12000.0,3,0,5250.0,9750.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-450.0,0.15,0.44999999999999996,1.45
3,15000,15000.0,21750.0,12,0,10200.0,12000.0,3,0,5250.0,9750.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-450.0,0.15,0.6,1.45
4,15000,15000.0,21750.0,12,0,10200.0,12000.0,3,0,5250.0,9750.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-450.0,0.15,0.75,1.45
5,15000,15000.0,21750.0,12,0,10200.0,12000.0,3,0,5250.0,9750.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-450.0,0.15,0.9,1.45
6,30000,30000.0,55350.0,12,0,14250.0,20100.0,9,6,15750.0,35250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.9,1.845
7,30000,30000.0,49350.0,12,0,14250.0,20100.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.9,1.645
8,30000,30000.0,49350.0,12,0,14250.0,20100.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.9,1.645
9,25000,25000.0,41250.0,12,0,10200.0,12000.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-950.0,0.31666666666666665,1.2166666666666668,1.65
10,25000,25000.0,41250.0,12,0,10200.0,12000.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-950.0,0.31666666666666665,1.5333333333333334,1.65
11,25000,25000.0,41250.0,12,0,10200.0,12000.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-950.0,0.31666666666666665,1.85,1.65
12,25000,25000.0,41250.0,12,0,10200.0,12000.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-950.0,0.31666666666666665,2.166666666666667,1.65
13,25000,25000.0,41250.0,12,0,10200.0,12000.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-950.0,0.31666666666666665,2.4833333333333334,1.65
14,25000,25000.0,41250.0,12,0,10200.0,12000.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-950.0,0.31666666666666665,2.8,1.65
15,40000,40000.0,68400.0,12,0,21350.0,34300.0,9,0,15750.0,29250.0,1,1,1500.0,3500.0,0.0,-0.0,0.0,0.0,1.0,1.0,1400.0,1350.0,-0.0,-0.47,2.33,1.71
16,40000,40000.0,66700.0,12,0,21350.0,34300.0,9,0,15750.0,29250.0,1,0,1500.0,3000.0,0.0,-0.0,0.0,0.0,1.0,-0.0,1400.0,150.0,-0.0,-0.47,1.86,1.6675
17,40000,40000.0,66700.0,12,0,21350.0,34300.0,9,0,15750.0,29250.0,1,0,1500.0,3000.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,1400.0,150.0,-0.0,-0.47,1.3900000000000001,1.6675
18,27000,27000.0,41400.0,12,0,10200.0,12000.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,1400.0,150.0,-350.0,-0.3533333333333333,1.0366666666666668,1.5333333333333334
19,27000,27000.0,41400.0,12,0,10200.0,12000.0,9,0,15750.0,29250.0,0,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,1400.0,150.0,-350.0,-0.3533333333333333,0.6833333333333336,1.5333333333333334
20,27000,27000.0,41539.99999999999,12,0,10269.999999999996,12139.999999999993,9,0,15750.0,29250.0,0,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,1400.0,150.0,-419.99999999999545,-0.3300000000000015,0.35333333333333206,1.5385185185185182
21,27000,27000.0,41400.00000000001,12,0,10200.000000000004,12000.000000000007,9,0,15750.0,29250.0,0,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,1400.0,150.0,-350.00000000000273,-0.3533333333333324,-3.3306690738754696e-16,1.5333333333333337
22,27000,27000.0,43350.0,12,0,11250.0,14100.0,9,0,15750.0,29250.0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-3.3306690738754696e-16,1.6055555555555556
23,27000,27000.0,43350.0,12,0,11250.0,14100.0,9,0,15750.0,29250.0,0,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-3.3306690738754696e-16,1.6055555555555556
