h,Consommation (MW),Production total,Coût total,Nb centrale A,Puissance tot A,Coût A,Nb centrale B,Puissance tot B,Coût B,Nb centrale C,Puissance tot C,Coût C,"Fonctionnement 9, palier 1","Puissance tot 9, palier 1","Coût 9, palier 1","Fonctionnement 9, palier 2","Puissance tot 9, palier 2","Coût 9, palier 2","Fonctionnement 9, palier 3","Puissance tot 9, palier 3","Coût 9, palier 3","Fonctionnement 9, palier 4","Puissance tot 9, palier 4","Coût 9, palier 4",Démarrage 9,Fonctionnement 9,Puissance tot 9,Coût 9,"Fonctionnement 14, palier 1","Puissance tot 14, palier 1","Coût 14, palier 1","Fonctionnement 14, palier 2","Puissance tot 14, palier 2","Coût 14, palier 2","Fonctionnement 14, palier 3","Puissance tot 14, palier 3","Coût 14, palier 3","Fonctionnement 14, palier 4","Puissance tot 14, palier 4","Coût 14, palier 4",Démarrage 14,Fonctionnement 14,Puissance tot 14,Coût 14,Pompage,Réservoir variation,Réservoir,Coût MWh
0,15000,14999.999999999998,28414.999999999978,12,10199.99999999999,11999.999999999982,5,8749.999999999998,16249.999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-5449.999999999991,1.3166666666666635,1.3166666666666635,1.894333333333332
1,15000,14999.999999999998,28414.999999999978,12,10199.99999999999,11999.999999999982,5,8749.999999999998,16249.999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-5449.999999999991,1.3166666666666635,2.633333333333327,1.894333333333332
2,15000,14999.999999999998,28414.999999999978,12,10199.99999999999,11999.999999999982,5,8749.999999999998,16249.999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-5449.999999999991,1.3166666666666635,3.9499999999999904,1.894333333333332
3,15000,14999.999999999998,28414.999999999978,12,10199.99999999999,11999.999999999982,5,8749.999999999998,16249.999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-5449.999999999991,1.3166666666666635,5.266666666666654,1.894333333333332
4,15000,14999.999999999998,28414.999999999978,12,10199.99999999999,11999.999999999982,5,8749.999999999998,16249.999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1500.0,165.0,-5449.999999999991,1.3166666666666635,6.583333333333318,1.894333333333332
5,15000,14999.999999999998,28414.999999999978,12,10199.99999999999,11999.999999999982,5,8749.999999999998,16249.999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1500.0,165.0,-5449.999999999991,1.3166666666666635,7.899999999999982,1.894333333333332
6,30000,30000.0,49410.0,12,14300.0,20200.0,8,14000.0,29000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1700.0,210.0,0.0,1.0,1700.0,210.0,-0.0,-0.56,7.339999999999982,1.647
7,30000,30000.0,46410.0,12,14300.0,20200.0,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1700.0,210.0,0.0,1.0,1700.0,210.0,-0.0,-0.56,6.779999999999982,1.547
8,30000,30000.0,46410.0,12,14300.0,20200.0,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1700.0,210.0,0.0,1.0,1700.0,210.0,-0.0,-0.56,6.219999999999981,1.547
9,25000,24999.999999999996,38165.0,12,10200.000000000002,12000.000000000004,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-700.0000000000022,-0.26666666666666594,5.953333333333315,1.5266000000000002
10,25000,24999.999999999996,38165.0,12,10200.000000000002,12000.000000000004,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-700.0000000000022,-0.26666666666666594,5.68666666666665,1.5266000000000002
11,25000,24999.999999999996,38165.0,12,10200.000000000002,12000.000000000004,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-700.0000000000022,-0.26666666666666594,5.419999999999984,1.5266000000000002
12,25000,25000.0,38165.0,12,10200.0,12000.0,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-700.0,-0.26666666666666666,5.153333333333317,1.5266
13,25000,25000.0,38165.0,12,10200.0,12000.0,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1500.0,165.0,-700.0,-0.26666666666666666,4.886666666666651,1.5266
14,25000,24999.999999999996,38165.0,12,10200.000000000002,12000.000000000004,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-700.0000000000022,-0.26666666666666594,4.619999999999985,1.5266000000000002
15,40000,40000.0,67660.0,12,21050.0,33700.0,9,15750.0,30250.0,1,1500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1700.0,210.0,0.0,1.0,1700.0,210.0,-0.0,-0.56,4.0599999999999845,1.6915
16,40000,40000.0,66160.0,12,21050.0,33700.0,9,15750.0,29250.0,1,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1700.0,210.0,-0.0,1.0,1700.0,210.0,-0.0,-0.56,3.4999999999999845,1.654
17,40000,40000.0,66160.0,12,21050.0,33700.0,9,15750.0,29250.0,1,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1700.0,210.0,0.0,1.0,1700.0,210.0,-0.0,-0.56,2.9399999999999844,1.654
18,27000,27000.0,41414.99999999999,12,10199.999999999996,11999.999999999993,9,15750.0,29250.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-449.9999999999982,-0.35000000000000064,2.589999999999984,1.5338888888888886
19,27000,27000.0,41414.99999999999,12,10199.999999999996,11999.999999999993,9,15750.0,29250.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,165.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1500.0,165.0,-449.9999999999982,-0.35000000000000064,2.2399999999999833,1.5338888888888886
20,27000,27000.0,40410.0,12,11300.0,14200.0,8,14000.0,26000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1700.0,210.0,0.0,1.0,1700.0,210.0,-0.0,-0.56,1.6799999999999833,1.4966666666666666
